Title                    ,
Model:                   ,N9320A
Serial Number:           ,CN0163000547
Center Frequency;        ,31250000.000000,Hz
Span:                    ,62500000.000000,Hz
Resolution Bandwidth:    ,3000.000000,Hz
Video Bandwidth:         ,3000.000000,Hz
Reference Level:         ,        0.00,dBm
Sweep Time:              ,20.878623,Sec
Num Points:              ,0461

No.,            frequency,    ,amplitude,
127,  17255434.8,Hz,      -35.61,dBm
128,  17391304.3,Hz,      -37.62,dBm
129,  17527173.9,Hz,      -38.80,dBm
130,  17663043.5,Hz,      -35.81,dBm
131,  17798913.0,Hz,      -35.43,dBm
132,  17934782.6,Hz,      -37.74,dBm
133,  18070652.2,Hz,      -34.62,dBm
134,  18206521.7,Hz,      -38.19,dBm
135,  18342391.3,Hz,      -38.39,dBm
136,  18478260.9,Hz,      -38.87,dBm
137,  18614130.4,Hz,      -38.59,dBm
138,  18750000.0,Hz,      -38.44,dBm
139,  18885869.6,Hz,      -37.44,dBm
140,  19021739.1,Hz,      -36.83,dBm
141,  19157608.7,Hz,      -36.86,dBm
142,  19293478.3,Hz,      -37.26,dBm
143,  19429347.8,Hz,      -37.96,dBm
144,  19565217.4,Hz,      -37.14,dBm
145,  19701087.0,Hz,      -36.88,dBm
146,  19836956.5,Hz,      -39.33,dBm
147,  19972826.1,Hz,      -35.91,dBm
148,  20108695.7,Hz,      -37.84,dBm
149,  20244565.2,Hz,      -37.51,dBm
150,  20380434.8,Hz,      -37.03,dBm
151,  20516304.3,Hz,      -38.58,dBm
152,  20652173.9,Hz,      -38.16,dBm
153,  20788043.5,Hz,      -38.24,dBm
154,  20923913.0,Hz,      -39.35,dBm
155,  21059782.6,Hz,      -36.93,dBm
156,  21195652.2,Hz,      -36.90,dBm
157,  21331521.7,Hz,      -37.48,dBm
158,  21467391.3,Hz,      -37.53,dBm
159,  21603260.9,Hz,      -38.16,dBm
160,  21739130.4,Hz,      -37.30,dBm
161,  21875000.0,Hz,      -38.30,dBm
162,  22010869.6,Hz,      -38.13,dBm
163,  22146739.1,Hz,      -37.68,dBm
164,  22282608.7,Hz,      -35.70,dBm
165,  22418478.3,Hz,      -35.70,dBm
166,  22554347.8,Hz,      -37.28,dBm
167,  22690217.4,Hz,      -36.85,dBm
168,  22826087.0,Hz,      -35.57,dBm
169,  22961956.5,Hz,      -37.45,dBm
170,  23097826.1,Hz,      -38.23,dBm
171,  23233695.7,Hz,      -36.10,dBm
172,  23369565.2,Hz,      -33.08,dBm
173,  23505434.8,Hz,      -36.05,dBm
174,  23641304.3,Hz,      -36.62,dBm
175,  23777173.9,Hz,      -38.78,dBm
176,  23913043.5,Hz,      -37.22,dBm
177,  24048913.0,Hz,      -36.61,dBm
178,  24184782.6,Hz,      -38.23,dBm
179,  24320652.2,Hz,      -39.26,dBm
180,  24456521.7,Hz,      -36.13,dBm
181,  24592391.3,Hz,      -36.99,dBm
182,  24728260.9,Hz,      -36.31,dBm
183,  24864130.4,Hz,      -37.50,dBm
184,  25000000.0,Hz,      -37.77,dBm
185,  25135869.6,Hz,      -37.57,dBm
186,  25271739.1,Hz,      -36.41,dBm
187,  25407608.7,Hz,      -38.50,dBm
188,  25543478.3,Hz,      -35.18,dBm
189,  25679347.8,Hz,      -37.82,dBm
190,  25815217.4,Hz,      -38.47,dBm
191,  25951087.0,Hz,      -36.00,dBm
192,  26086956.5,Hz,      -36.43,dBm
193,  26222826.1,Hz,      -36.91,dBm
194,  26358695.7,Hz,      -37.97,dBm
195,  26494565.2,Hz,      -35.02,dBm
196,  26630434.8,Hz,      -36.33,dBm
197,  26766304.3,Hz,      -38.37,dBm
198,  26902173.9,Hz,      -36.33,dBm
199,  27038043.5,Hz,      -37.34,dBm
200,  27173913.0,Hz,      -37.42,dBm
201,  27309782.6,Hz,      -37.39,dBm
202,  27445652.2,Hz,      -36.42,dBm
203,  27581521.7,Hz,      -35.89,dBm
204,  27717391.3,Hz,      -37.21,dBm
205,  27853260.9,Hz,      -35.50,dBm
206,  27989130.4,Hz,      -38.41,dBm
207,  28125000.0,Hz,      -36.98,dBm
208,  28260869.6,Hz,      -37.44,dBm
209,  28396739.1,Hz,      -38.09,dBm
210,  28532608.7,Hz,      -37.01,dBm
211,  28668478.3,Hz,      -36.86,dBm
212,  28804347.8,Hz,      -36.58,dBm
213,  28940217.4,Hz,      -36.75,dBm
214,  29076087.0,Hz,      -36.17,dBm
215,  29211956.5,Hz,      -37.24,dBm
216,  29347826.1,Hz,      -36.45,dBm
217,  29483695.7,Hz,      -35.94,dBm
218,  29619565.2,Hz,      -36.80,dBm
219,  29755434.8,Hz,      -36.34,dBm
