Title                    ,
Model:                   ,N9320A
Serial Number:           ,CN0163000547
Center Frequency;        ,31250000.000000,Hz
Span:                    ,62500000.000000,Hz
Resolution Bandwidth:    ,3000.000000,Hz
Video Bandwidth:         ,3000.000000,Hz
Reference Level:         ,        0.00,dBm
Sweep Time:              ,20.878623,Sec
Num Points:              ,0461

No.,            frequency,    ,amplitude,
127,  17255434.8,Hz,      -50.20,dBm
128,  17391304.3,Hz,      -46.67,dBm
129,  17527173.9,Hz,      -46.51,dBm
130,  17663043.5,Hz,      -49.49,dBm
131,  17798913.0,Hz,      -48.11,dBm
132,  17934782.6,Hz,      -48.87,dBm
133,  18070652.2,Hz,      -48.78,dBm
134,  18206521.7,Hz,      -48.25,dBm
135,  18342391.3,Hz,      -48.81,dBm
136,  18478260.9,Hz,      -46.36,dBm
137,  18614130.4,Hz,      -47.85,dBm
138,  18750000.0,Hz,      -46.13,dBm
139,  18885869.6,Hz,      -47.51,dBm
140,  19021739.1,Hz,      -48.19,dBm
141,  19157608.7,Hz,      -48.47,dBm
142,  19293478.3,Hz,      -47.23,dBm
143,  19429347.8,Hz,      -47.17,dBm
144,  19565217.4,Hz,      -49.00,dBm
145,  19701087.0,Hz,      -48.72,dBm
146,  19836956.5,Hz,      -47.99,dBm
147,  19972826.1,Hz,      -46.86,dBm
148,  20108695.7,Hz,      -48.53,dBm
149,  20244565.2,Hz,      -45.91,dBm
150,  20380434.8,Hz,      -47.39,dBm
151,  20516304.3,Hz,      -45.96,dBm
152,  20652173.9,Hz,      -48.58,dBm
153,  20788043.5,Hz,      -47.96,dBm
154,  20923913.0,Hz,      -48.36,dBm
155,  21059782.6,Hz,      -48.81,dBm
156,  21195652.2,Hz,      -48.30,dBm
157,  21331521.7,Hz,      -49.28,dBm
158,  21467391.3,Hz,      -47.90,dBm
159,  21603260.9,Hz,      -47.25,dBm
160,  21739130.4,Hz,      -48.78,dBm
161,  21875000.0,Hz,      -45.87,dBm
162,  22010869.6,Hz,      -47.90,dBm
163,  22146739.1,Hz,      -48.41,dBm
164,  22282608.7,Hz,      -47.50,dBm
165,  22418478.3,Hz,      -48.47,dBm
166,  22554347.8,Hz,      -48.80,dBm
167,  22690217.4,Hz,      -48.80,dBm
168,  22826087.0,Hz,      -49.11,dBm
169,  22961956.5,Hz,      -46.57,dBm
170,  23097826.1,Hz,      -47.16,dBm
171,  23233695.7,Hz,      -48.52,dBm
172,  23369565.2,Hz,      -46.55,dBm
173,  23505434.8,Hz,      -46.21,dBm
174,  23641304.3,Hz,      -48.72,dBm
175,  23777173.9,Hz,      -47.30,dBm
176,  23913043.5,Hz,      -47.16,dBm
177,  24048913.0,Hz,      -46.57,dBm
178,  24184782.6,Hz,      -46.06,dBm
179,  24320652.2,Hz,      -46.57,dBm
180,  24456521.7,Hz,      -46.68,dBm
181,  24592391.3,Hz,      -46.54,dBm
182,  24728260.9,Hz,      -48.54,dBm
183,  24864130.4,Hz,      -46.57,dBm
184,  25000000.0,Hz,      -46.90,dBm
185,  25135869.6,Hz,      -45.21,dBm
186,  25271739.1,Hz,      -44.27,dBm
187,  25407608.7,Hz,      -47.04,dBm
188,  25543478.3,Hz,      -47.86,dBm
189,  25679347.8,Hz,      -46.99,dBm
190,  25815217.4,Hz,      -45.15,dBm
191,  25951087.0,Hz,      -47.07,dBm
192,  26086956.5,Hz,      -46.90,dBm
193,  26222826.1,Hz,      -46.68,dBm
194,  26358695.7,Hz,      -45.43,dBm
195,  26494565.2,Hz,      -45.26,dBm
196,  26630434.8,Hz,      -46.68,dBm
197,  26766304.3,Hz,      -45.89,dBm
198,  26902173.9,Hz,      -46.03,dBm
199,  27038043.5,Hz,      -46.54,dBm
200,  27173913.0,Hz,      -41.63,dBm
201,  27309782.6,Hz,      -45.46,dBm
202,  27445652.2,Hz,      -44.98,dBm
203,  27581521.7,Hz,      -45.80,dBm
204,  27717391.3,Hz,      -46.28,dBm
205,  27853260.9,Hz,      -43.61,dBm
206,  27989130.4,Hz,      -45.40,dBm
207,  28125000.0,Hz,      -44.65,dBm
208,  28260869.6,Hz,      -42.93,dBm
209,  28396739.1,Hz,      -44.59,dBm
210,  28532608.7,Hz,      -44.29,dBm
211,  28668478.3,Hz,      -44.37,dBm
212,  28804347.8,Hz,      -42.10,dBm
213,  28940217.4,Hz,      -43.20,dBm
214,  29076087.0,Hz,      -44.20,dBm
215,  29211956.5,Hz,      -43.74,dBm
216,  29347826.1,Hz,      -44.26,dBm
217,  29483695.7,Hz,      -45.51,dBm
218,  29619565.2,Hz,      -43.82,dBm
219,  29755434.8,Hz,      -43.60,dBm
220,  29891304.3,Hz,      -44.56,dBm
221,  30027173.9,Hz,      -43.93,dBm
222,  30163043.5,Hz,      -45.11,dBm
223,  30298913.0,Hz,      -43.82,dBm
224,  30434782.6,Hz,      -43.98,dBm
225,  30570652.2,Hz,      -44.78,dBm
226,  30706521.7,Hz,      -41.23,dBm
227,  30842391.3,Hz,      -43.25,dBm
228,  30978260.9,Hz,      -42.81,dBm
229,  31114130.4,Hz,      -44.45,dBm
230,  31250000.0,Hz,      -42.89,dBm
231,  31385869.6,Hz,      -44.23,dBm
232,  31521739.1,Hz,      -44.45,dBm
233,  31657608.7,Hz,      -41.80,dBm
234,  31793478.3,Hz,      -43.95,dBm
235,  31929347.8,Hz,      -43.51,dBm
236,  32065217.4,Hz,      -44.09,dBm
237,  32201087.0,Hz,      -44.58,dBm
238,  32336956.5,Hz,      -45.28,dBm
239,  32472826.1,Hz,      -44.09,dBm
240,  32608695.7,Hz,      -46.15,dBm
241,  32744565.2,Hz,      -44.11,dBm
242,  32880434.8,Hz,      -43.70,dBm
243,  33016304.3,Hz,      -43.62,dBm
244,  33152173.9,Hz,      -44.30,dBm
245,  33288043.5,Hz,      -44.97,dBm
246,  33423913.0,Hz,      -43.10,dBm
247,  33559782.6,Hz,      -45.27,dBm
248,  33695652.2,Hz,      -45.87,dBm
249,  33831521.7,Hz,      -45.92,dBm
250,  33967391.3,Hz,      -44.94,dBm
251,  34103260.9,Hz,      -43.59,dBm
252,  34239130.4,Hz,      -45.13,dBm
253,  34375000.0,Hz,      -46.15,dBm
254,  34510869.6,Hz,      -45.41,dBm
255,  34646739.1,Hz,      -44.44,dBm
256,  34782608.7,Hz,      -45.33,dBm
257,  34918478.3,Hz,      -45.98,dBm
258,  35054347.8,Hz,      -45.58,dBm
259,  35190217.4,Hz,      -45.44,dBm
260,  35326087.0,Hz,      -46.29,dBm
261,  35461956.5,Hz,      -46.23,dBm
262,  35597826.1,Hz,      -47.04,dBm
263,  35733695.7,Hz,      -46.29,dBm
264,  35869565.2,Hz,      -47.32,dBm
265,  36005434.8,Hz,      -47.12,dBm
266,  36141304.3,Hz,      -44.60,dBm
267,  36277173.9,Hz,      -46.68,dBm
268,  36413043.5,Hz,      -45.38,dBm
269,  36548913.0,Hz,      -45.97,dBm
270,  36684782.6,Hz,      -47.15,dBm
271,  36820652.2,Hz,      -48.40,dBm
272,  36956521.7,Hz,      -46.53,dBm
273,  37092391.3,Hz,      -47.26,dBm
274,  37228260.9,Hz,      -47.66,dBm
275,  37364130.4,Hz,      -47.35,dBm
276,  37500000.0,Hz,      -48.31,dBm
277,  37635869.6,Hz,      -47.07,dBm
278,  37771739.1,Hz,      -47.83,dBm
279,  37907608.7,Hz,      -46.90,dBm
280,  38043478.3,Hz,      -47.43,dBm
281,  38179347.8,Hz,      -48.53,dBm
282,  38315217.4,Hz,      -47.32,dBm
283,  38451087.0,Hz,      -48.00,dBm
284,  38586956.5,Hz,      -46.56,dBm
285,  38722826.1,Hz,      -48.06,dBm
286,  38858695.7,Hz,      -47.80,dBm
287,  38994565.2,Hz,      -48.78,dBm
288,  39130434.8,Hz,      -48.78,dBm
289,  39266304.3,Hz,      -48.02,dBm
290,  39402173.9,Hz,      -48.67,dBm
291,  39538043.5,Hz,      -48.05,dBm
292,  39673913.0,Hz,      -49.66,dBm
293,  39809782.6,Hz,      -50.42,dBm
294,  39945652.2,Hz,      -50.66,dBm
295,  40081521.7,Hz,      -50.33,dBm
296,  40217391.3,Hz,      -48.02,dBm
297,  40353260.9,Hz,      -49.29,dBm
298,  40489130.4,Hz,      -49.32,dBm
299,  40625000.0,Hz,      -51.02,dBm
300,  40760869.6,Hz,      -50.77,dBm
301,  40896739.1,Hz,      -50.83,dBm
302,  41032608.7,Hz,      -50.53,dBm
