Title                    ,
Model:                   ,N9320A
Serial Number:           ,CN0163000547
Center Frequency;        ,31250000.000000,Hz
Span:                    ,62500000.000000,Hz
Resolution Bandwidth:    ,3000.000000,Hz
Video Bandwidth:         ,3000.000000,Hz
Reference Level:         ,        0.00,dBm
Sweep Time:              ,20.878623,Sec
Num Points:              ,0461

No.,            frequency,    ,amplitude,
127,  17255434.8,Hz,      -36.15,dBm
128,  17391304.3,Hz,      -37.06,dBm
129,  17527173.9,Hz,      -36.99,dBm
130,  17663043.5,Hz,      -36.99,dBm
131,  17798913.0,Hz,      -37.01,dBm
132,  17934782.6,Hz,      -38.80,dBm
133,  18070652.2,Hz,      -37.34,dBm
134,  18206521.7,Hz,      -36.37,dBm
135,  18342391.3,Hz,      -37.76,dBm
136,  18478260.9,Hz,      -37.76,dBm
137,  18614130.4,Hz,      -37.66,dBm
138,  18750000.0,Hz,      -37.59,dBm
139,  18885869.6,Hz,      -38.44,dBm
140,  19021739.1,Hz,      -36.53,dBm
141,  19157608.7,Hz,      -38.99,dBm
142,  19293478.3,Hz,      -35.96,dBm
143,  19429347.8,Hz,      -38.29,dBm
144,  19565217.4,Hz,      -34.20,dBm
145,  19701087.0,Hz,      -36.14,dBm
146,  19836956.5,Hz,      -36.55,dBm
147,  19972826.1,Hz,      -36.63,dBm
148,  20108695.7,Hz,      -39.23,dBm
149,  20244565.2,Hz,      -38.01,dBm
150,  20380434.8,Hz,      -37.43,dBm
151,  20516304.3,Hz,      -36.93,dBm
152,  20652173.9,Hz,      -36.78,dBm
153,  20788043.5,Hz,      -37.61,dBm
154,  20923913.0,Hz,      -38.06,dBm
155,  21059782.6,Hz,      -38.26,dBm
156,  21195652.2,Hz,      -37.98,dBm
157,  21331521.7,Hz,      -35.65,dBm
158,  21467391.3,Hz,      -38.30,dBm
159,  21603260.9,Hz,      -36.42,dBm
160,  21739130.4,Hz,      -38.30,dBm
161,  21875000.0,Hz,      -37.70,dBm
162,  22010869.6,Hz,      -39.01,dBm
163,  22146739.1,Hz,      -38.40,dBm
164,  22282608.7,Hz,      -36.11,dBm
165,  22418478.3,Hz,      -37.56,dBm
166,  22554347.8,Hz,      -38.51,dBm
167,  22690217.4,Hz,      -38.60,dBm
168,  22826087.0,Hz,      -37.65,dBm
169,  22961956.5,Hz,      -39.27,dBm
170,  23097826.1,Hz,      -38.68,dBm
171,  23233695.7,Hz,      -38.10,dBm
172,  23369565.2,Hz,      -38.86,dBm
173,  23505434.8,Hz,      -38.63,dBm
174,  23641304.3,Hz,      -37.93,dBm
175,  23777173.9,Hz,      -39.13,dBm
176,  23913043.5,Hz,      -38.35,dBm
177,  24048913.0,Hz,      -39.50,dBm
178,  24184782.6,Hz,      -38.45,dBm
179,  24320652.2,Hz,      -37.92,dBm
180,  24456521.7,Hz,      -38.02,dBm
181,  24592391.3,Hz,      -37.70,dBm
182,  24728260.9,Hz,      -37.92,dBm
183,  24864130.4,Hz,      -39.24,dBm
184,  25000000.0,Hz,      -40.01,dBm
185,  25135869.6,Hz,      -39.13,dBm
186,  25271739.1,Hz,      -38.90,dBm
187,  25407608.7,Hz,      -39.36,dBm
188,  25543478.3,Hz,      -40.89,dBm
189,  25679347.8,Hz,      -40.01,dBm
190,  25815217.4,Hz,      -40.22,dBm
191,  25951087.0,Hz,      -40.06,dBm
192,  26086956.5,Hz,      -38.44,dBm
193,  26222826.1,Hz,      -38.29,dBm
194,  26358695.7,Hz,      -38.09,dBm
195,  26494565.2,Hz,      -39.95,dBm
196,  26630434.8,Hz,      -39.15,dBm
197,  26766304.3,Hz,      -40.50,dBm
198,  26902173.9,Hz,      -40.68,dBm
199,  27038043.5,Hz,      -38.04,dBm
200,  27173913.0,Hz,      -38.24,dBm
201,  27309782.6,Hz,      -40.11,dBm
202,  27445652.2,Hz,      -41.63,dBm
203,  27581521.7,Hz,      -38.64,dBm
204,  27717391.3,Hz,      -40.47,dBm
205,  27853260.9,Hz,      -39.67,dBm
206,  27989130.4,Hz,      -40.29,dBm
207,  28125000.0,Hz,      -39.92,dBm
208,  28260869.6,Hz,      -40.00,dBm
209,  28396739.1,Hz,      -39.17,dBm
210,  28532608.7,Hz,      -38.74,dBm
211,  28668478.3,Hz,      -39.10,dBm
212,  28804347.8,Hz,      -38.87,dBm
213,  28940217.4,Hz,      -40.98,dBm
214,  29076087.0,Hz,      -39.97,dBm
215,  29211956.5,Hz,      -39.28,dBm
216,  29347826.1,Hz,      -40.96,dBm
217,  29483695.7,Hz,      -37.41,dBm
218,  29619565.2,Hz,      -39.51,dBm
219,  29755434.8,Hz,      -40.98,dBm
220,  29891304.3,Hz,      -40.36,dBm
221,  30027173.9,Hz,      -40.18,dBm
222,  30163043.5,Hz,      -39.87,dBm
223,  30298913.0,Hz,      -38.68,dBm
224,  30434782.6,Hz,      -39.68,dBm
225,  30570652.2,Hz,      -40.85,dBm
226,  30706521.7,Hz,      -40.22,dBm
227,  30842391.3,Hz,      -40.38,dBm
228,  30978260.9,Hz,      -38.28,dBm
229,  31114130.4,Hz,      -40.56,dBm
230,  31250000.0,Hz,      -39.61,dBm
231,  31385869.6,Hz,      -40.85,dBm
232,  31521739.1,Hz,      -41.28,dBm
233,  31657608.7,Hz,      -41.23,dBm
234,  31793478.3,Hz,      -42.28,dBm
235,  31929347.8,Hz,      -41.02,dBm
236,  32065217.4,Hz,      -40.53,dBm
237,  32201087.0,Hz,      -41.62,dBm
238,  32336956.5,Hz,      -42.06,dBm
239,  32472826.1,Hz,      -41.49,dBm
240,  32608695.7,Hz,      -41.70,dBm
241,  32744565.2,Hz,      -40.09,dBm
242,  32880434.8,Hz,      -41.88,dBm
243,  33016304.3,Hz,      -42.19,dBm
244,  33152173.9,Hz,      -42.19,dBm
245,  33288043.5,Hz,      -40.84,dBm
246,  33423913.0,Hz,      -41.85,dBm
247,  33559782.6,Hz,      -45.19,dBm
248,  33695652.2,Hz,      -42.56,dBm
249,  33831521.7,Hz,      -42.03,dBm
250,  33967391.3,Hz,      -39.16,dBm
251,  34103260.9,Hz,      -39.99,dBm
252,  34239130.4,Hz,      -42.24,dBm
253,  34375000.0,Hz,      -40.76,dBm
254,  34510869.6,Hz,      -41.17,dBm
255,  34646739.1,Hz,      -40.48,dBm
256,  34782608.7,Hz,      -42.27,dBm
257,  34918478.3,Hz,      -42.29,dBm
258,  35054347.8,Hz,      -41.12,dBm
259,  35190217.4,Hz,      -42.59,dBm
260,  35326087.0,Hz,      -42.40,dBm
261,  35461956.5,Hz,      -42.21,dBm
262,  35597826.1,Hz,      -41.90,dBm
263,  35733695.7,Hz,      -43.37,dBm
264,  35869565.2,Hz,      -43.56,dBm
265,  36005434.8,Hz,      -42.45,dBm
266,  36141304.3,Hz,      -41.74,dBm
267,  36277173.9,Hz,      -43.97,dBm
