Title                    ,
Model:                   ,N9320A
Serial Number:           ,CN0163000547
Center Frequency;        ,31250000.000000,Hz
Span:                    ,62500000.000000,Hz
Resolution Bandwidth:    ,3000.000000,Hz
Video Bandwidth:         ,3000.000000,Hz
Reference Level:         ,        0.00,dBm
Sweep Time:              ,20.878623,Sec
Num Points:              ,0461

No.,            frequency,    ,amplitude,
  0,         0.0,Hz,        2.04,dBm
  1,    135869.6,Hz,      -38.02,dBm
  2,    271739.1,Hz,      -32.09,dBm
  3,    407608.7,Hz,      -27.32,dBm
  4,    543478.3,Hz,      -29.61,dBm
  5,    679347.8,Hz,      -24.06,dBm
  6,    815217.4,Hz,      -24.07,dBm
  7,    951087.0,Hz,      -21.85,dBm
  8,   1086956.5,Hz,      -21.70,dBm
  9,   1222826.1,Hz,      -20.32,dBm
 10,   1358695.7,Hz,      -18.35,dBm
 11,   1494565.2,Hz,      -18.19,dBm
 12,   1630434.8,Hz,      -17.21,dBm
 13,   1766304.3,Hz,      -17.54,dBm
 14,   1902173.9,Hz,      -18.51,dBm
 15,   2038043.5,Hz,      -17.63,dBm
 16,   2173913.0,Hz,      -17.34,dBm
 17,   2309782.6,Hz,      -18.26,dBm
 18,   2445652.2,Hz,      -18.20,dBm
 19,   2581521.7,Hz,      -15.51,dBm
 20,   2717391.3,Hz,      -16.64,dBm
 21,   2853260.9,Hz,      -16.30,dBm
 22,   2989130.4,Hz,      -17.23,dBm
 23,   3125000.0,Hz,      -18.36,dBm
 24,   3260869.6,Hz,      -17.89,dBm
 25,   3396739.1,Hz,      -18.27,dBm
 26,   3532608.7,Hz,      -18.73,dBm
 27,   3668478.3,Hz,      -19.76,dBm
 28,   3804347.8,Hz,      -20.61,dBm
 29,   3940217.4,Hz,      -20.55,dBm
 30,   4076087.0,Hz,      -19.62,dBm
 31,   4211956.5,Hz,      -22.16,dBm
 32,   4347826.1,Hz,      -22.92,dBm
 33,   4483695.7,Hz,      -21.44,dBm
 34,   4619565.2,Hz,      -20.11,dBm
 35,   4755434.8,Hz,      -20.00,dBm
 36,   4891304.3,Hz,      -21.60,dBm
 37,   5027173.9,Hz,      -20.61,dBm
 38,   5163043.5,Hz,      -19.88,dBm
 39,   5298913.0,Hz,      -21.05,dBm
 40,   5434782.6,Hz,      -20.18,dBm
 41,   5570652.2,Hz,      -20.62,dBm
 42,   5706521.7,Hz,      -22.18,dBm
 43,   5842391.3,Hz,      -20.45,dBm
 44,   5978260.9,Hz,      -20.55,dBm
 45,   6114130.4,Hz,      -22.37,dBm
 46,   6250000.0,Hz,      -24.01,dBm
 47,   6385869.6,Hz,      -21.87,dBm
 48,   6521739.1,Hz,      -22.54,dBm
 49,   6657608.7,Hz,      -22.06,dBm
 50,   6793478.3,Hz,      -22.78,dBm
 51,   6929347.8,Hz,      -22.74,dBm
 52,   7065217.4,Hz,      -18.88,dBm
 53,   7201087.0,Hz,      -22.76,dBm
 54,   7336956.5,Hz,      -22.19,dBm
 55,   7472826.1,Hz,      -19.72,dBm
 56,   7608695.7,Hz,      -21.19,dBm
 57,   7744565.2,Hz,      -21.16,dBm
 58,   7880434.8,Hz,      -23.01,dBm
 59,   8016304.3,Hz,      -21.80,dBm
 60,   8152173.9,Hz,      -22.11,dBm
 61,   8288043.5,Hz,      -21.21,dBm
 62,   8423913.0,Hz,      -21.89,dBm
 63,   8559782.6,Hz,      -22.12,dBm
 64,   8695652.2,Hz,      -21.96,dBm
 65,   8831521.7,Hz,      -23.64,dBm
 66,   8967391.3,Hz,      -22.45,dBm
 67,   9103260.9,Hz,      -22.10,dBm
 68,   9239130.4,Hz,      -22.60,dBm
 69,   9375000.0,Hz,      -22.43,dBm
 70,   9510869.6,Hz,      -21.87,dBm
 71,   9646739.1,Hz,      -23.58,dBm
 72,   9782608.7,Hz,      -22.12,dBm
 73,   9918478.3,Hz,      -20.94,dBm
 74,  10054347.8,Hz,      -20.31,dBm
 75,  10190217.4,Hz,      -21.22,dBm
 76,  10326087.0,Hz,      -22.14,dBm
 77,  10461956.5,Hz,      -20.00,dBm
 78,  10597826.1,Hz,      -23.38,dBm
 79,  10733695.7,Hz,      -22.06,dBm
 80,  10869565.2,Hz,      -20.76,dBm
 81,  11005434.8,Hz,      -21.75,dBm
 82,  11141304.3,Hz,      -20.91,dBm
 83,  11277173.9,Hz,      -20.81,dBm
 84,  11413043.5,Hz,      -22.75,dBm
 85,  11548913.0,Hz,      -22.40,dBm
 86,  11684782.6,Hz,      -22.73,dBm
 87,  11820652.2,Hz,      -22.37,dBm
 88,  11956521.7,Hz,      -21.30,dBm
 89,  12092391.3,Hz,      -20.94,dBm
 90,  12228260.9,Hz,      -23.94,dBm
 91,  12364130.4,Hz,      -22.26,dBm
 92,  12500000.0,Hz,      -23.08,dBm
 93,  12635869.6,Hz,      -22.08,dBm
 94,  12771739.1,Hz,      -20.67,dBm
 95,  12907608.7,Hz,      -21.67,dBm
 96,  13043478.3,Hz,      -21.47,dBm
 97,  13179347.8,Hz,      -22.91,dBm
 98,  13315217.4,Hz,      -23.51,dBm
 99,  13451087.0,Hz,      -21.34,dBm
100,  13586956.5,Hz,      -23.78,dBm
