Title                    ,
Model:                   ,N9320A
Serial Number:           ,CN0163000547
Center Frequency;        ,31250000.000000,Hz
Span:                    ,62500000.000000,Hz
Resolution Bandwidth:    ,3000.000000,Hz
Video Bandwidth:         ,3000.000000,Hz
Reference Level:         ,        0.00,dBm
Sweep Time:              ,20.878623,Sec
Num Points:              ,0461

No.,            frequency,    ,amplitude,
  0,         0.0,Hz,        2.26,dBm
  1,    135869.6,Hz,      -54.56,dBm
  2,    271739.1,Hz,      -47.72,dBm
  3,    407608.7,Hz,      -48.73,dBm
  4,    543478.3,Hz,      -44.43,dBm
  5,    679347.8,Hz,      -53.85,dBm
  6,    815217.4,Hz,      -53.98,dBm
  7,    951087.0,Hz,      -52.25,dBm
  8,   1086956.5,Hz,      -50.93,dBm
  9,   1222826.1,Hz,      -47.73,dBm
 10,   1358695.7,Hz,      -50.47,dBm
 11,   1494565.2,Hz,      -48.06,dBm
 12,   1630434.8,Hz,      -46.65,dBm
 13,   1766304.3,Hz,      -46.19,dBm
 14,   1902173.9,Hz,      -46.05,dBm
 15,   2038043.5,Hz,      -46.78,dBm
 16,   2173913.0,Hz,      -45.90,dBm
 17,   2309782.6,Hz,      -46.96,dBm
 18,   2445652.2,Hz,      -46.62,dBm
 19,   2581521.7,Hz,      -47.51,dBm
 20,   2717391.3,Hz,      -47.09,dBm
 21,   2853260.9,Hz,      -45.03,dBm
 22,   2989130.4,Hz,      -41.44,dBm
 23,   3125000.0,Hz,      -45.55,dBm
 24,   3260869.6,Hz,      -45.38,dBm
 25,   3396739.1,Hz,      -43.61,dBm
 26,   3532608.7,Hz,      -45.31,dBm
 27,   3668478.3,Hz,      -44.26,dBm
 28,   3804347.8,Hz,      -44.77,dBm
 29,   3940217.4,Hz,      -46.45,dBm
 30,   4076087.0,Hz,      -44.27,dBm
 31,   4211956.5,Hz,      -44.45,dBm
 32,   4347826.1,Hz,      -43.63,dBm
 33,   4483695.7,Hz,      -44.88,dBm
 34,   4619565.2,Hz,      -46.45,dBm
 35,   4755434.8,Hz,      -44.79,dBm
 36,   4891304.3,Hz,      -46.58,dBm
 37,   5027173.9,Hz,      -44.51,dBm
 38,   5163043.5,Hz,      -43.60,dBm
 39,   5298913.0,Hz,      -45.38,dBm
 40,   5434782.6,Hz,      -44.87,dBm
 41,   5570652.2,Hz,      -45.65,dBm
 42,   5706521.7,Hz,      -44.13,dBm
 43,   5842391.3,Hz,      -45.44,dBm
 44,   5978260.9,Hz,      -45.21,dBm
 45,   6114130.4,Hz,      -46.56,dBm
 46,   6250000.0,Hz,      -45.40,dBm
 47,   6385869.6,Hz,      -45.70,dBm
 48,   6521739.1,Hz,      -48.58,dBm
 49,   6657608.7,Hz,      -45.67,dBm
 50,   6793478.3,Hz,      -47.43,dBm
 51,   6929347.8,Hz,      -44.90,dBm
 52,   7065217.4,Hz,      -44.48,dBm
 53,   7201087.0,Hz,      -46.49,dBm
 54,   7336956.5,Hz,      -47.72,dBm
 55,   7472826.1,Hz,      -47.10,dBm
 56,   7608695.7,Hz,      -47.80,dBm
 57,   7744565.2,Hz,      -46.72,dBm
 58,   7880434.8,Hz,      -43.63,dBm
 59,   8016304.3,Hz,      -46.35,dBm
 60,   8152173.9,Hz,      -46.26,dBm
